n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
74,1,2021-05-12 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,3,,Division 3,Division 3,,2,2,Acacia,1,Annie,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
75,1,2021-05-12 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,3,,Division 3,Division 3,,3,42,Seaview,1,Entertain You,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
76,1,2021-05-12 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,3,,Division 3,Division 3,,4,25,Carisbrook,1,Octopus's Garden,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
77,1,2021-05-12 18:00:00,Sub Juniors,13,3,Song and Dance,Fancy,3,,Division 3,Division 3,,5,28,Golden Heights,1,Jolly Holiday,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
78,1,2021-05-13 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 2,1,12,Reynella Braeview,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
79,1,2021-05-13 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 2,2,36,Ridgehaven,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
80,1,2021-05-13 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 2,3,9,Marden,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
81,1,2021-05-13 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 2,4,3,Innovation,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
82,1,2021-05-13 18:00:00,Sub Juniors,1,1,Figure March,Core,0,,Championship Division,Championship Division,Team 2,5,14,Plympton Halifax,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
83,1,2021-05-13 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,1,9,Marden,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
84,1,2021-05-13 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,2,12,Reynella Braeview,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
85,1,2021-05-13 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,3,3,Innovation,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
86,1,2021-05-13 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,4,14,Plympton Halifax,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
87,1,2021-05-13 18:00:00,Sub Juniors,3,2,Rod Exercises,Core,0,,Championship Division,Championship Division,Team 2,5,36,Ridgehaven,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
