n,comp-id,session-start,Age groups,ItemID,ItemSeq,Item,ItemType,DivID,(wrong DivID),DivisionName,RawDiv,Section Team(s),Routine,ClubID,ClubSlug,Team,Music,Sivey,Bree,,cohortKey,cohortID,team laravel,session laravel,session_division,sesssion team rank,session itmes,teamkey,teamID,sessionItemKey,sessionItemID,routine,a,a,a,a,a,a,a,a,a,a,a
274,1,2021-05-21 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,1,,Division 1,Division 1,Team 1,2,35,Highbury,1,Out of the Toybox,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
275,1,2021-05-21 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,1,,Division 1,Division 1,Team 1,3,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
276,1,2021-05-21 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,1,,Division 1,Division 1,Team 1,4,40,Del Sante Gardens,1,Isn't she cute,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
277,1,2021-05-21 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,1,,Division 1,Division 1,Team 1,5,29,Jem,1,Sing Away your Blues,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
278,1,2021-05-21 19:30:00,Sub Juniors,13,3,Song and Dance,Fancy,1,,Division 1,Division 1,Team 1,6,41,Seaton,1,Chitty Chitty,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
279,1,2021-05-24 18:00:00,Juniors,4,1,Club Swinging,Core,5,4,Division 5,Division 4 & 5,,1,25,Carisbrook,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
280,1,2021-05-24 18:00:00,Juniors,4,1,Club Swinging,Core,5,4,Division 5,Division 4 & 5,,2,39,Cherum,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
281,1,2021-05-24 18:00:00,Juniors,4,1,Club Swinging,Core,4,5,Division 4,Division 4 & 5,,3,32,Payton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
282,1,2021-05-24 18:00:00,Juniors,4,1,Club Swinging,Core,4,5,Division 4,Division 4 & 5,,4,26,Elizabeth Eastside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
283,1,2021-05-24 18:00:00,Juniors,4,1,Club Swinging,Core,4,5,Division 4,Division 4 & 5,,5,21,Pt Augusta,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
284,1,2021-05-24 18:00:00,Juniors,4,1,Club Swinging,Core,4,5,Division 4,Division 4 & 5,,6,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
285,1,2021-05-24 18:00:00,Juniors,2,2,Free Exercises,Core,5,4,Division 5,Division 4 & 5,,1,25,Carisbrook,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
286,1,2021-05-24 18:00:00,Juniors,2,2,Free Exercises,Core,5,4,Division 5,Division 4 & 5,,2,39,Cherum,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
287,1,2021-05-24 18:00:00,Juniors,2,2,Free Exercises,Core,4,5,Division 4,Division 4 & 5,,3,26,Elizabeth Eastside,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
288,1,2021-05-24 18:00:00,Juniors,2,2,Free Exercises,Core,4,5,Division 4,Division 4 & 5,,4,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
289,1,2021-05-24 18:00:00,Juniors,2,2,Free Exercises,Core,4,5,Division 4,Division 4 & 5,,5,21,Pt Augusta,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
290,1,2021-05-24 18:00:00,Juniors,2,2,Free Exercises,Core,4,5,Division 4,Division 4 & 5,,6,32,Payton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
291,1,2021-05-24 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,5,4,Division 5,Division 4 & 5,,1,39,Cherum,1,Meet the Muppets,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
292,1,2021-05-24 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,5,4,Division 5,Division 4 & 5,,2,25,Carisbrook,1,Hairspray!,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
293,1,2021-05-24 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,4,5,Division 4,Division 4 & 5,,3,16,Largs North,1,Austin Powers,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
294,1,2021-05-24 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,4,5,Division 4,Division 4 & 5,,4,32,Payton,1,Newsies,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
295,1,2021-05-24 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,4,5,Division 4,Division 4 & 5,,5,26,Elizabeth Eastside,1,Matilda,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
296,1,2021-05-24 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,4,5,Division 4,Division 4 & 5,,6,21,Pt Augusta,1,Welcome to Wonderland,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
297,1,2021-05-24 19:30:00,Seniors,1,1,Figure March,Core,2,,Division 2,Division 2,,1,28,Golden Heights,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
298,1,2021-05-24 19:30:00,Seniors,1,1,Figure March,Core,2,,Division 2,Division 2,,2,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
299,1,2021-05-24 19:30:00,Seniors,1,1,Figure March,Core,2,,Division 2,Division 2,,3,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
300,1,2021-05-24 19:30:00,Seniors,1,1,Figure March,Core,2,,Division 2,Division 2,,4,42,Seaview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
301,1,2021-05-24 19:30:00,Seniors,1,1,Figure March,Core,2,,Division 2,Division 2,,5,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
302,1,2021-05-24 19:30:00,Seniors,1,1,Figure March,Core,2,,Division 2,Division 2,,6,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
303,1,2021-05-24 19:30:00,Seniors,4,2,Club Swinging,Core,2,,Division 2,Division 2,,1,42,Seaview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
304,1,2021-05-24 19:30:00,Seniors,4,2,Club Swinging,Core,2,,Division 2,Division 2,,2,16,Largs North,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
305,1,2021-05-24 19:30:00,Seniors,4,2,Club Swinging,Core,2,,Division 2,Division 2,,3,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
306,1,2021-05-24 19:30:00,Seniors,4,2,Club Swinging,Core,2,,Division 2,Division 2,,4,28,Golden Heights,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
307,1,2021-05-24 19:30:00,Seniors,4,2,Club Swinging,Core,2,,Division 2,Division 2,,5,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
308,1,2021-05-24 19:30:00,Seniors,4,2,Club Swinging,Core,2,,Division 2,Division 2,,6,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
309,1,2021-05-24 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,2,,Division 2,Division 2,,1,16,Largs North,1,"""Never Enough""",,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
310,1,2021-05-24 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,2,,Division 2,Division 2,,2,42,Seaview,1,I want 2 B a Dancer,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
311,1,2021-05-24 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,2,,Division 2,Division 2,,3,28,Golden Heights,1,Touch the Gold,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
312,1,2021-05-24 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,2,,Division 2,Division 2,,4,27,Gleneliz,1,Clown,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
313,1,2021-05-24 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,2,,Division 2,Division 2,,5,37,Windsor,1,Clown,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
314,1,2021-05-24 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,2,,Division 2,Division 2,,6,15,Seacliff,1,Yesterday,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
315,1,2021-05-25 18:00:00,Juniors,4,1,Club Swinging,Core,0,,Championship Division,Championship Division,Team 3 & 4,1,14,Plympton Halifax,4,,Yes,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
316,1,2021-05-25 18:00:00,Juniors,4,1,Club Swinging,Core,0,,Championship Division,Championship Division,Team 3 & 4,2,3,Innovation,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
317,1,2021-05-25 18:00:00,Juniors,4,1,Club Swinging,Core,0,,Championship Division,Championship Division,Team 3 & 4,3,14,Plympton Halifax,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
318,1,2021-05-25 18:00:00,Juniors,4,1,Club Swinging,Core,0,,Championship Division,Championship Division,Team 3 & 4,4,9,Marden,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
319,1,2021-05-25 18:00:00,Juniors,2,2,Free Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,1,3,Innovation,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
320,1,2021-05-25 18:00:00,Juniors,2,2,Free Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,2,14,Plympton Halifax,3,,Yes,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
321,1,2021-05-25 18:00:00,Juniors,2,2,Free Exercises,Core,0,,Championship Division,Championship Division,Team 3 & 4,3,9,Marden,3,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
322,1,2021-05-25 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,0,,Championship Division,Championship Division,Team 3 & 4,1,14,Plympton Halifax,3,Hard knock life,Yes,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
323,1,2021-05-25 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,0,,Championship Division,Championship Division,Team 3 & 4,2,3,Innovation,3,Christmas Story,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
324,1,2021-05-25 19:30:00,Seniors,1,1,Figure March,Core,1,,Division 1,Division 1,,1,14,Plympton Halifax,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
325,1,2021-05-25 19:30:00,Seniors,1,1,Figure March,Core,1,,Division 1,Division 1,,2,36,Ridgehaven,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
326,1,2021-05-25 19:30:00,Seniors,1,1,Figure March,Core,1,,Division 1,Division 1,,3,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
327,1,2021-05-25 19:30:00,Seniors,1,1,Figure March,Core,1,,Division 1,Division 1,,4,35,Highbury,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
328,1,2021-05-25 19:30:00,Seniors,1,1,Figure March,Core,1,,Division 1,Division 1,,5,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
329,1,2021-05-25 19:30:00,Seniors,1,1,Figure March,Core,1,,Division 1,Division 1,,6,41,Seaton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
330,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,1,13,Brighton,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
331,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,2,36,Ridgehaven,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
332,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,3,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
333,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,4,36,Ridgehaven,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
334,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,5,14,Plympton Halifax,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
335,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,6,12,Reynella Braeview,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
336,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,7,35,Highbury,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
337,1,2021-05-25 19:30:00,Seniors,4,2,Club Swinging,Core,1,,Division 1,Division 1,Team 1 & 2,8,41,Seaton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
338,1,2021-05-25 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,1,,Division 1,Division 1,,1,12,Reynella Braeview,1,Pretty Hurts,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
339,1,2021-05-25 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,1,,Division 1,Division 1,,2,36,Ridgehaven,1,LOVE,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
340,1,2021-05-25 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,1,,Division 1,Division 1,,3,14,Plympton Halifax,1,Funny Honey,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
341,1,2021-05-25 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,1,,Division 1,Division 1,,4,35,Highbury,1,Arabian Nights,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
342,1,2021-05-25 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,1,,Division 1,Division 1,,5,13,Brighton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
343,1,2021-05-25 19:30:00,Seniors,6,3,Rhythmical Aesthetic,Fancy,1,,Division 1,Division 1,,6,41,Seaton,1,Somewhere Only We Know,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
344,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,1,15,Seacliff,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
345,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,2,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
346,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,3,41,Seaton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
347,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,4,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
348,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,5,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
349,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,6,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
350,1,2021-05-26 18:00:00,Juniors,4,1,Club Swinging,Core,2,,Division 2,Division 2,Team 1 & 2,7,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
351,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,1,15,Seacliff,2,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
352,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,2,37,Windsor,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
353,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,3,11,Happy Valley,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
354,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,4,15,Seacliff,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
355,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,5,41,Seaton,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
356,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,6,27,Gleneliz,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
357,1,2021-05-26 18:00:00,Juniors,2,2,Free Exercises,Core,2,,Division 2,Division 2,Team 1 & 2,7,2,Acacia,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
358,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,1,15,Seacliff,2,Dance,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
359,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,2,27,Gleneliz,1,Magic Man G,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
360,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,3,37,Windsor,1,Hair Up,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
361,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,4,15,Seacliff,1,Let's Dance,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
362,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,5,11,Happy Valley,1,Aladdin,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
363,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,6,2,Acacia,1,Which Bathin Suit?,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
364,1,2021-05-26 18:00:00,Juniors,8,3,Dance Arrangement,Fancy,2,,Division 2,Division 2,Team 1 & 2,7,41,Seaton,1,Little Shop of Horror,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
365,1,2021-05-27 18:00:00,Juniors,4,1,Club Swinging,Core,3,,Division 3,Division 3,,1,24,Whydale,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
366,1,2021-05-27 18:00:00,Juniors,4,1,Club Swinging,Core,3,,Division 3,Division 3,,2,38,Seaford,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
367,1,2021-05-27 18:00:00,Juniors,4,1,Club Swinging,Core,3,,Division 3,Division 3,,3,31,Para Vista,1,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,
